createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,initial_Liquidity_Token,current_token,initial_Liquidity_Eth,current_Eth,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull
2021-10-28,0x9f0ee4393e18a26716bc1cc59b9912eaf4398f0b,Halloween Inu,HINU,Wrapped Ether,WETH,0x59b895d52749cf4abda55b180fa10b713a2d774c,Halloween Inu,HINU,5,0x2e5ecf9d2b91542395e8a06eaa50d681cef2be61,5,1000000000000000.0,953000000000000.0,5.0,3e-18,1635485186,2021-10-29 14:26,1,4,1,0,320,64186,4,0,64186,burn,1635485186,2021-10-29 14:26,5.245,3e-18,-1.0,17.829444444444444h,True
2021-10-28,0x5634f7dc1756740be8a5221f88be5a7723ef894b,Aztec Inu,AZTEC,Wrapped Ether,WETH,0x0496a4ef905cd717159b3b43665365f6670c5fe4,Aztec Inu,AZTEC,7,0x0c677cf7e7e87b8ce3905f640b70ffe0d5a8d031,7,855000.0,698054.5691,2.66,3e-18,1635590606,2021-10-30 19:43,1,6,1,0,169,207022,6,0,207022,burn,1635590606,2021-10-30 19:43,3.26,3e-18,-1.0,57.50611111111111h,True
2021-10-28,0x46a9aa15cb99755fae5caa55890f509cfa33fd8a,Wrapped Ether,WETH,ButtCoin,BUTT,0xc9d29e447021eedfd565e1ac38d61d1a02d5fc27,ButtCoin,BUTT,9,0x97199e1c570ac2bda27b7aeff42675383d1e5aa7,9,918000000000.0,2.26e-05,1.3,4.6e-17,1635414315,2021-10-28 18:45,1,7,1,0,8690,30241,4,3,30241,burn,1635414315,2021-10-28 18:45,1.567317184,4.6e-17,-1.0,8.400277777777777h,True
2021-10-28,0xeb7ff52a92a0df841e740d838094e0eab021c935,Wrapped Ether,WETH,FLOINU,FLOINU,0xfa1f1ce0d7ddbed78ef7a10897ada2c064a14ca0,FLOINU,FLOINU,10,0x5814b0afb50c8dcd952f7046ee71ae9c817c3692,10,1000000000000000.0,759000000000000.0,4.0,3e-18,1635441191,2021-10-29 2:13,1,9,1,0,645,46883,9,0,46883,burn,1635441191,2021-10-29 2:13,5.274409328,3e-18,-1.0,13.023055555555555h,True
2021-10-28,0x563260a8ce122b69298cd22185b409f133447043,PUPFLOKI,PUPFLOKI,Wrapped Ether,WETH,0x204d4e6c46817654d8e417f5fced3155dcd28da1,PUPFLOKI,PUPFLOKI,10,0x883a1c7a4c93aa2a553cb576cefb0d5d86d08bfa,10,1000000000000000.0,828000000000000.0,5.0,3e-18,1635444905,2021-10-29 3:15,1,9,1,0,855,36784,9,0,36784,burn,1635444905,2021-10-29 3:15,6.04446712,3e-18,-1.0,10.217777777777778h,True
2021-10-28,0x966d98b051387b99933a3c89f2b833d6b255ee37,Dinger Dao,Dinger Dao,Wrapped Ether,WETH,0xb2aa8e3134e8b9b188ad6f42449af75943c665d8,Dinger Dao,Dinger Dao,12,0x0793e6223421b85dbbddd2553b7221f6b1e1d46e,12,1000000000000000.0,0.000364657,5.0,3e-18,1635417209,2021-10-28 19:33,1,10,1,0,2415,19144,10,0,19144,burn,1635417209,2021-10-28 19:33,6.13568007,3e-18,-1.0,5.317777777777778h,True
2021-10-28,0x76d99552e8e318c1bdf9373fa28ce75997bfed5c,Shepherd Inu,SHINU,Wrapped Ether,WETH,0xa5394f47e5ba169546279ea40802a18e0712d5f3,Shepherd Inu,SHINU,14,0x08b39b13eb254bc48892d3b87ef54913958cacbe,14,1000000000000000.0,796000000000000.0,6.0,4e-18,1635475211,2021-10-29 11:40,1,13,1,0,2548,75099,13,0,75099,burn,1635475211,2021-10-29 11:40,7.539793541,4e-18,-1.0,20.860833333333332h,True
2021-10-28,0x2c2ca9e13c4d9cd76083053cd40e61a8b60399e2,GEN.ART,GENART,Wrapped Ether,WETH,0x12e56851ec22874520dc4c7fa0a8a8d7dba1bac8,GEN.ART,GENART,19,0xf7d96d2d672af54c661ef5049adc3482a191484d,16,789.0,1.41e-14,1.0,7.2e-17,1635409854,2021-10-28 17:30,1,14,1,0,343,2265,10,4,2265,burn,1635409854,2021-10-28 17:30,2.005862297,7.2e-17,-1.0,0.6291666666666667h,True
2021-10-28,0xde48f2875ebdf81332428d5ca03ac0238e839f51, RYOSHIMOTO,Ryoshi,Wrapped Ether,WETH,0x8c683d728b6a01670a6ed6589299aeafef9579b8, RYOSHIMOTO,Ryoshi,18,0x2c1eb6ca34997f6601cffe791831ad6d5cb9e937,18,100000000000000.0,62300000000000.0,3.0,1e-18,1635484167,2021-10-29 14:09,1,23,1,0,15070,83141,22,1,83141,burn,1635484167,2021-10-29 14:09,5.704406026,1e-18,-1.0,23.094722222222224h,True
2021-10-28,0xa729be4a9086eb2e42921fe10a5315e17b043d12,Kim Inu,KIMINU,Wrapped Ether,WETH,0x27e26641e200a33839ccd02bd78da40432cde6cc,Kim Inu,KIMINU,18,0xa5253847d6799a5f6abf5f54cc9bfe9dd697db9f,18,1000000000000000.0,652000000000000.0,4.0,4e-18,1635482124,2021-10-29 13:35,1,20,1,0,7028,64213,20,0,64213,burn,1635482124,2021-10-29 13:35,6.298300057,4e-18,-1.0,17.836944444444445h,True
