createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,current_token,current_Eth,initial_Liquidity_Eth,initial_Liquidity_Token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull
2020-07-05,0x3f88da43a4810546201a5346b11b1a511b3edd26,NIKE Token,NKT,Wrapped Ether,WETH,0x6ff24ef3f0f3155702b04188b1f18f54499f752b,NIKE Token,NKT,6,0x517228f96e988cee23f9e04b62c17fcb1006afaa,6,1e-06,3.1600000000000003e-12,10,1000000,1594366020,2020-07-10 07:27:00,1,4,1,0,76752,435526,2,2,435526,burn,1594366020,2020-07-10 07:27:00,10.002327227414277616,3.163014E-12,-0.9999999999996837721934020672,120.97944444444444h,True
2020-07-05,0x45a952de3e5e2bb2f05f6e44c58d16408691da0f,AIRToken,ART,Wrapped Ether,WETH,0xbe78daa6e2b5c39cd2d2054bc5ac984da3133794,AIRToken,ART,8,0x517228f96e988cee23f9e04b62c17fcb1006afaa,8,1e-06,3.2400000000000003e-12,10,1000000,1593930228,2020-07-05 06:23:48,1,6,1,0,678,2138,4,2,2138,burn,1593930228,2020-07-05 06:23:48,10.232327218831501285,3.235746E-12,-0.9999999999996837722317905397,0.5938888888888889h,True
2020-07-05,0xe25f52b88eb2cd84f3c75ca82eed706bfd44d136,Election Token,ELT,Wrapped Ether,WETH,0x24800cbae0b7345054a1df4e41031a8202b84f5e,Election Token,ELT,7,0x517228f96e988cee23f9e04b62c17fcb1006afaa,7,1e-06,3.25e-12,10,1000000,1593927541,2020-07-05 05:39:01,1,5,1,0,141,304,3,2,304,burn,1593927541,2020-07-05 05:39:01,10.279551773096184593,3.250680E-12,-0.9999999999996837722041044889,0.08444444444444445h,True
2020-07-05,0xa13f0e8b12356f4dc1779e91ef63a152b646a1fb,WEB3 token,WEBT,Wrapped Ether,WETH,0x97215b40e454b435d2871c9a74e9939133a58089,WEB3 token,WEBT,6,0x517228f96e988cee23f9e04b62c17fcb1006afaa,6,1e-06,3.2599999999999994e-12,10,1000000,1593925614,2020-07-05 05:06:54,1,4,1,0,151,338,3,1,338,burn,1593925614,2020-07-05 05:06:54,10.298968958431142153,3.256820E-12,-0.9999999999996837722287400586,0.09388888888888888h,True
2020-07-05,0xf0ad920ef8bf03ddde86f9985e266613563db17a,Freemason Token,FMT,Wrapped Ether,WETH,0x5fae66045aadb8e6faeee636aaa3bb1652289c32,Freemason Token,FMT,10,0x517228f96e988cee23f9e04b62c17fcb1006afaa,10,1e-06,3.28e-12,10,1000000,1593919612,2020-07-05 03:26:52,1,8,1,0,141,318,5,3,318,burn,1593919612,2020-07-05 03:26:52,10.363476128175465475,3.277219E-12,-0.9999999999996837722247373991,0.08833333333333333h,True
2020-07-05,0xe0045a45e9cf858e5a9e1242108381f8a4278cb2,VeChain Classic,VET,Wrapped Ether,WETH,0x354ea96636b7347b3cf64ca2490b2f94cb39dac6,VeChain Classic,VET,8,0x873cd84a52e8f274c941b60002bcb3bb0324c4e6,8,1e-18,3.4700000000000008e-12,2,25000000,1596386870,2020-08-02 16:47:50,1,6,1,0,403184,5557,4,2,2415278,burn,1593977149,2020-07-05 19:25:49,2.042905773916989402,1E-18,-0.9999999999999999995105011632,1.543611111111111h,True
2020-07-05,0x6d7d27e7eeee0bcb632b4ec0b29f771e197afb6b,Wrapped Ether,WETH,build your dreams,Byd,0xc9f0e9e39991f559fcf235d2e1bfa2d497128de6,build your dreams,Byd,27,0x5471a640333dcd88f592a782e39fe5b041946b65,27,1.0,1.08e-11,0.1,1000000000,1593925079,2020-07-05 04:57:59,1,25,1,0,888,4598,24,1,4598,burn,1593925079,2020-07-05 04:57:59,0.107662030360004657,1.0766204E-11,-0.9999999998999999910460583822,1.2772222222222223h,True
2020-07-05,0x91d350336ce3bb8f8c14fdcb4326ade3f61c919f,ToGooToken,TGT,Wrapped Ether,WETH,0x5d368655d72780b2b9e1a227407c1525d32cb2e9,ToGooToken,TGT,7,0x523f1ab93c6c31496dae3f24b50d6d46ff72c450,7,0.0001,3.22e-11,4.8,480000,1593947881,2020-07-05 11:18:01,1,5,1,0,3519,15863,3,2,15863,burn,1593947881,2020-07-05 11:18:01,4.894399689356896751,3.2244690E-11,-0.9999999999934119213700267264,4.4063888888888885h,True
2020-07-05,0xa91d84eb62e7fde8c3c05fddbecac4c8057a2ad4,DefiChain,DFCH,Wrapped Ether,WETH,0xb28a04ce683925755c0bfee1c67eda053dd01899,DefiChain,DFCH,16,0xce6252af254b443c346735203121ed80db763135,16,1.0,1.77e-10,7,247000000,1593952705,2020-07-05 12:38:25,1,14,1,0,1197,4811,10,4,4811,burn,1593952705,2020-07-05 12:38:25,7.357979163241489926,1.76954275E-10,-0.9999999999759506963700010772,1.3363888888888888h,True
2020-07-05,0x9d5a117978c12f018f364183544bc58c08b0a177,ProDefi,PDF,Wrapped Ether,WETH,0x374a805743fc497d9c230bd14bf08422d0adaf2d,ProDefi,PDF,13,0xff14afb2a4eb52280773945ccf4bc4e976b66742,13,1.0,2.01e-10,7.7,200000000,1593972208,2020-07-05 18:03:28,1,11,1,0,328,9044,6,5,9044,burn,1593972208,2020-07-05 18:03:28,7.895634722156823172,2.01199404E-10,-0.9999999999745176403063085147,2.5122222222222224h,True
