,createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_ETH,initial_Liquidity_token,token00_creator_address
0,12768722,2021-07-05,0xf894cf9d0dadd37db11ecac563dc6dbb0f9dbda8,500000000000.0,1.169008382,2.338016763,5062.268454,22.32135955,1430,500000000000.0,1.169008382,0x8162f5beb631298559df84583db21a445a22608a,BabyHoge.com,BHOGE,500000000000.0,1430,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502933.5738,57780823,0x8162f5beb631298559df84583db21a445a22608a,BabyHoge.com,BHOGE,500000000000.0,1430,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502933.5738,57780823,5.0,400000000000.0,
1,12768708,2021-07-05,0x27c5b07dd43718b5974cb43c599048d053974383,6.59e-10,1.83e-09,1.83e-09,3.98e-06,0.0,17,6.59e-10,1.83e-09,0xaa15efc68b9382c3f3421dd75c6945b2de180ab9,Whats,Whats,6.59e-10,17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502933.5738,57780823,0xaa15efc68b9382c3f3421dd75c6945b2de180ab9,Whats,Whats,6.59e-10,17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502933.5738,57780823,1.2,1000000000000.0,
2,12768689,2021-07-05,0x12c027c9dfbe102aa77b38b5fca04f016d08bfde,1e-06,1.68e-12,3.36e-12,7.44e-09,0.0,14,1e-06,1.68e-12,0x56d37ef8f7d9be06fbada7e4f278041df4f236d7,lith.finance,LITH,1e-06,14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502933.5738,57780823,0x56d37ef8f7d9be06fbada7e4f278041df4f236d7,lith.finance,LITH,1e-06,14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502933.5738,57780823,12.0,5000000.0,
3,12768677,2021-07-05,0xc371ffc53749667bb56f90d4b775439d06dd6190,7.67e-10,0.0,0.0,2.2e-15,0.0,4,7.67e-10,0.0,0x460b564f649f583151cd05439446c4ee7e3652ff,KingKong,KingKong,7.67e-10,4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502933.5738,57780823,0x460b564f649f583151cd05439446c4ee7e3652ff,KingKong,KingKong,7.67e-10,4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502933.5738,57780823,1.0,1000000000000.0,0x350b67e5422b2c962209dbc98d96a93545cf5d79
4,12692298,2021-06-23,0x86e88bf5e5f505dfd9c0c9734785c3a1bdebecbc,6.71e-10,0.0,0.0,1.9e-15,0.0,2,6.71e-10,0.0,0x91978210d5e38454e6682c4848182178ead27875,TEST,,6.71e-10,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,0x91978210d5e38454e6682c4848182178ead27875,TEST,,6.71e-10,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,2.0,900000000000.0,
5,12692295,2021-06-23,0x844e671e33e850e225c821395b9073793adff366,0.000489896,0.0,0.0,1.15e-14,0.0,12,0.000489896,0.0,0xa9700ee63c0c60c84b046e3e238989d47af78844,OVERMOON,OVERMOON,0.000489896,12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,0xa9700ee63c0c60c84b046e3e238989d47af78844,OVERMOON,OVERMOON,0.000489896,12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,3.0,1000000000000000.0,0xf599a7cfc5a25c5a66419443471db50c52823fa4
6,12692282,2021-06-23,0x9ad6dc57d03cd0f6ac5ce845628e7a1d5e4e3b00,2.83e-06,3e-16,3e-16,6.86e-13,0.0,8,2.83e-06,3e-16,0x2a96d11a717f625b610aa94494631292d6e0f183,MTP Fast PUMP,✅ MetaPUMP,2.83e-06,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,0x2a96d11a717f625b610aa94494631292d6e0f183,MTP Fast PUMP,✅ MetaPUMP,2.83e-06,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,1.4,20000000000.0,0x19400ee4f1fea0191cecd776e69bf2ee86d9827c
7,12692276,2021-06-23,0xb2fd935f74feb287f632d5e6734581241a5c5014,2.98e-09,0.0,0.0,3.8e-15,0.0,9,2.98e-09,0.0,0xa10041dcc7d30158948458b14060baad361ba04e,Stir Fried Shrimp,SFS 🦐,2.98e-09,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,0xa10041dcc7d30158948458b14060baad361ba04e,Stir Fried Shrimp,SFS 🦐,2.98e-09,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,5.0,50000000000000.0,
8,12692244,2021-06-23,0x98b57baf43ef4f9c19dc04c7232a1b950d3ed640,9.92e-10,0.0,0.0,3.8e-15,0.0,14,9.92e-10,0.0,0x8e06d8f846d0ca5d243dffb9fc0fa87f01688b24,Far Swap Token,FarSwap,9.92e-10,14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,0x8e06d8f846d0ca5d243dffb9fc0fa87f01688b24,Far Swap Token,FarSwap,9.92e-10,14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,8.0,10000000000000.0,0x38fb4a8adf0bc35d97599dc3fded9242a73d2f0a
9,12692241,2021-06-23,0xee6ffb04f7e09af906c86d7dd6e19b681150bf4f,4.15e-09,0.0,0.0,3.8e-15,0.0,19,4.15e-09,0.0,0x52619a21400b93042be1c7cc89d42afc7d60ac69,EverUP,EverUP⭐️,4.15e-09,19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,0x52619a21400b93042be1c7cc89d42afc7d60ac69,EverUP,EverUP⭐️,4.15e-09,19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,502937.6786,57780859,5.0,424000000000000.0,0xcc1f2321d5221c00faf414c23c49c4f9ac41ec3d
